ime,zacetek_kariere,konec_kariere/sedanjost,pozicija,visina,teza,leto_rojstva,v_hall_of_fame,trenutno_v_ligi
Michael Anderson,1989,1989,G,180,84,1966,ne,ne
Nick Anderson,1990,2002,F-G,198,93,1968,ne,ne
Richard Anderson,1983,1990,F-C,208,109,1960,ne,ne
Ron Anderson,1985,1994,F-G,201,98,1958,ne,ne
Ryan Anderson,2009,2020,F,206,109,1988,ne,ne
Shandon Anderson,1997,2006,F-G,198,94,1973,ne,ne
Willie Anderson,1989,1997,G-F,201,86,1967,ne,ne
Wally Anderzunas,1970,1970,C-F,201,100,1946,ne,ne
Martynas Andriuškevičius,2006,2006,C,218,109,1986,ne,ne
Don Anielak,1955,1955,F,201,86,1930,ne,ne
Ike Anigbogu,2018,2019,F-C,208,114,1998,ne,ne
Michael Ansley,1990,1992,F,201,102,1967,ne,ne
Chris Anstey,1998,2000,C,213,113,1975,ne,ne
Giannis Antetokounmpo,2014,2023,F-G,213,110,1994,ne,da
Kostas Antetokounmpo,2019,2021,F,208,91,1997,ne,da
Thanasis Antetokounmpo,2016,2023,F,198,99,1992,ne,da
Carmelo Anthony,2004,2022,F,201,108,1984,ne,ne
Cole Anthony,2021,2023,G,188,84,2000,ne,da
Greg Anthony,1992,2002,G,183,80,1967,ne,ne
Joel Anthony,2008,2017,C,206,111,1982,ne,ne
Pero Antić,2014,2015,C-F,211,118,1982,ne,ne
OG Anunoby,2018,2023,F,201,105,1997,ne,da
Keith Appling,2016,2016,G,185,84,1992,ne,ne
Rafael Araújo,2005,2007,C,211,127,1980,ne,ne
Stacey Arceneaux,1962,1962,F,193,95,1936,ne,ne
Robert Archibald,2003,2004,F,211,114,1980,ne,ne
Tiny Archibald,1971,1984,G,185,68,1948,da,ne
Ryan Arcidiacono,2018,2023,G,190,89,1994,ne,da
Jim Ard,1971,1978,F-C,203,98,1948,ne,ne
Gilbert Arenas,2002,2012,G,193,87,1982,ne,ne
Trevor Ariza,2005,2022,F,203,98,1985,ne,da
Paul Arizin,1951,1962,F-G,193,86,1928,da,ne
