ime,zacetek_kariere,konec_kariere/sedanjost,pozicija,visina,teza,leto_rojstva,v_hall_of_fame,trenutno_v_ligi
Guillermo Díaz,2008,2008,G,188,87,1985,ne,ne
Dan Dickau,2003,2008,G,183,86,1978,ne,ne
Kaniel Dickens,2004,2008,F,203,98,1978,ne,ne
Henry Dickerson,1976,1977,G,193,86,1951,ne,ne
Michael Dickerson,1999,2003,G-F,196,86,1975,ne,ne
Clyde Dickey,1975,1975,G,190,84,1951,ne,ne
Derrek Dickey,1974,1978,F,201,99,1951,ne,ne
Dick Dickey,1952,1952,G,185,79,1926,ne,ne
John Dickson,1968,1968,C,208,109,1945,ne,ne
Travis Diener,2006,2010,G,185,79,1982,ne,ne
Gorgui Dieng,2014,2023,C,208,114,1990,ne,da
Ousmane Dieng,2023,2023,F,208,98,2003,ne,da
Connie Dierking,1959,1971,C-F,206,101,1936,ne,ne
Coby Dietrick,1971,1983,C-F,208,100,1948,ne,ne
Craig Dill,1968,1968,C,211,98,1944,ne,ne
Dwaine Dillard,1976,1976,F,198,104,1949,ne,ne
Mickey Dillard,1982,1982,G,190,77,1958,ne,ne
Bob Dille,1947,1947,F,190,86,1917,ne,ne
Hook Dillon,1950,1950,F,190,82,1924,ne,ne
Byron Dinkins,1990,1991,G,185,77,1967,ne,ne
Jackie Dinkins,1972,1972,F,196,95,1950,ne,ne
Harry Dinnel,1968,1968,F-G,193,91,1940,ne,ne
Bill Dinwiddie,1968,1972,F,201,100,1943,ne,ne
Spencer Dinwiddie,2015,2023,G,196,98,1993,ne,da
Ike Diogu,2006,2012,F,203,114,1983,ne,ne
DeSagana Diop,2002,2013,C,213,136,1982,ne,ne
Terry Dischinger,1963,1973,F-G,201,86,1940,ne,ne
Fred Diute,1955,1955,G,190,95,1929,ne,ne
Vlade Divac,1990,2005,C,216,110,1968,da,ne
Juan Dixon,2003,2009,G,190,74,1978,ne,ne
Earl Dodd,1950,1950,F,196,79,1924,ne,ne
Michael Doleac,1999,2008,C,211,119,1977,ne,ne
Joe Dolhon,1950,1951,G,183,79,1927,ne,ne
Bob Doll,1947,1950,F-C,196,89,1919,ne,ne
James Donaldson,1981,1995,C,218,125,1957,ne,ne
Luka Dončić,2019,2023,G-F,201,104,1999,ne,da
Bob Donham,1951,1954,G-F,188,86,1926,ne,ne
Billy Donovan,1988,1988,G,180,78,1965,ne,ne
Harry Donovan,1950,1950,G,188,82,1926,ne,ne
Keyon Dooling,2001,2013,G,190,89,1980,ne,ne
Aleksandar Djordjevic,1997,1997,G,188,90,1967,ne,ne
Jacky Dorsey,1978,1981,F,201,104,1954,ne,ne
Joey Dorsey,2009,2015,F,203,122,1983,ne,ne
Ron Dorsey,1972,1972,F,193,91,1948,ne,ne
Tyler Dorsey,2018,2023,G,196,83,1996,ne,da
Luguentz Dort,2020,2023,G,190,98,1999,ne,da
Ayo Dosunmu,2022,2023,G,196,91,2000,ne,da
Damyean Dotson,2018,2022,G,196,95,1994,ne,ne
Devon Dotson,2021,2023,G,188,84,1999,ne,da
Quincy Douby,2007,2009,G,190,79,1984,ne,ne
Bruce Douglas,1987,1987,G,190,89,1964,ne,ne
John Douglas,1982,1983,G,188,77,1956,ne,ne
Leon Douglas,1977,1983,C-F,208,104,1954,ne,ne
Sherman Douglas,1990,2001,G,183,82,1966,ne,ne
Toney Douglas,2010,2017,G,188,89,1986,ne,ne
Chris Douglas-Roberts,2009,2015,G,201,91,1987,ne,ne
Sekou Doumbouya,2020,2022,F,203,104,2000,ne,da
Sonny Dove,1968,1972,F,201,90,1945,ne,ne
Jerry Dover,1972,1972,G,170,70,1949,ne,ne
Zabian Dowdell,2011,2011,G,190,87,1984,ne,ne
Bill Downey,1948,1948,C,198,95,1923,ne,ne
Steve Downing,1974,1975,C,203,102,1950,ne,ne
Jeff Dowtin,2022,2023,G,190,84,1997,ne,da
Danny Doyle,1963,1963,F,203,91,1940,ne,ne
Milton Doyle,2018,2018,G,193,84,1993,ne,ne
PJ Dozier,2018,2023,G,198,93,1996,ne,da
Terry Dozier,1990,1990,F,206,95,1966,ne,ne
Goran Dragić,2009,2023,G,190,86,1986,ne,da
Zoran Dragić,2015,2015,G-F,196,91,1989,ne,ne
Greg Dreiling,1987,1997,C,216,114,1962,ne,ne
Bryce Drew,1999,2004,G,188,84,1974,ne,ne
John Drew,1975,1985,F-G,198,93,1954,ne,ne
Larry Drew,1981,1991,G,185,77,1958,ne,ne
Larry Drew II,2015,2018,G,188,82,1990,ne,ne
Clyde Drexler,1984,1998,G,201,95,1962,da,ne
Nate Driggers,1997,1997,G,196,98,1973,ne,ne
Terry Driscoll,1971,1975,F,201,98,1947,ne,ne
Predrag Drobnjak,2002,2005,C,211,123,1975,ne,ne
Ralph Drollinger,1981,1981,C,218,114,1954,ne,ne
Andre Drummond,2013,2023,C,208,127,1993,ne,da
Dennis DuVal,1975,1976,G,190,79,1952,ne,ne
Chris Duarte,2022,2023,G,198,86,1997,ne,da
Dick Duckett,1958,1958,G,185,84,1933,ne,ne
Kevin Duckworth,1987,1997,C,213,125,1964,ne,ne
Charles Dudley,1973,1979,G,188,82,1950,ne,ne
Chris Dudley,1988,2003,C,211,107,1965,ne,ne
Jared Dudley,2008,2021,F-G,198,108,1985,ne,ne
Terry Duerod,1980,1983,G,188,82,1956,ne,ne
Bob Duffy,1947,1947,F,193,79,1922,ne,ne
Bob Duffy,1963,1965,G,190,84,1940,ne,ne
Chris Duhon,2005,2013,G,185,84,1982,ne,ne
Duje Dukan,2016,2016,F,206,100,1991,ne,ne
David Duke Jr.,2022,2023,G,196,93,1999,ne,da
Walter Dukes,1956,1963,C,213,100,1930,ne,ne
Joe Dumars,1986,1999,G,190,86,1963,da,ne
Rich Dumas,1969,1969,G,190,77,1944,ne,ne
Richard Dumas,1993,1996,F,201,91,1969,ne,ne
Tony Dumas,1995,1998,G,198,86,1972,ne,ne
Andy Duncan,1949,1951,F-C,198,89,1922,ne,ne
Tim Duncan,1998,2016,F-C,211,114,1976,da,ne
Mike Dunleavy,1977,1990,G,190,82,1954,ne,ne
Mike Dunleavy,2003,2017,F-G,206,104,1980,ne,ne
Kris Dunn,2017,2023,G,190,93,1994,ne,da
Pat Dunn,1958,1958,G,188,77,1931,ne,ne
T.R. Dunn,1978,1991,G-F,193,87,1955,ne,ne
Ronald Dupree,2004,2011,F,201,95,1981,ne,ne
Kevin Durant,2008,2023,F-G,208,109,1988,ne,da
Jalen Duren,2023,2023,C,208,114,2003,ne,da
John Duren,1981,1983,G,190,89,1958,ne,ne
Jarrett Durham,1972,1972,F,196,85,1949,ne,ne
Pat Durham,1993,1995,F,201,95,1967,ne,ne
Devin Durrant,1985,1986,F,201,91,1960,ne,ne
Ken Durrett,1972,1975,F,201,86,1948,ne,ne
Trevon Duval,2019,2019,G,188,86,1998,ne,da
Jack Dwan,1949,1949,F-G,193,91,1921,ne,ne
Craig Dykema,1982,1982,F,203,86,1959,ne,ne
Gene Dyker,1954,1954,F,198,102,1930,ne,ne
Jerome Dyson,2012,2012,G,190,82,1987,ne,ne
Ledell Eackles,1989,1998,G-F,196,100,1966,ne,ne
Jim Eakins,1969,1978,C,211,98,1946,ne,ne
Acie Earl,1994,1997,F-C,208,109,1970,ne,ne
Ed Earle,1954,1954,F,190,86,1927,ne,ne
Cleanthony Early,2015,2016,F,203,95,1991,ne,ne
Penny Early,1969,1969,G,160,52,1943,ne,ne
Tari Eason,2023,2023,F,203,98,2001,ne,da
Mark Eaton,1983,1993,C,224,125,1957,ne,ne
Jerry Eaves,1983,1987,G,193,82,1959,ne,ne
Devin Ebanks,2011,2013,F,206,98,1989,ne,ne
Bill Ebben,1958,1958,G,193,86,1935,ne,ne
Al Eberhard,1975,1978,F,198,102,1952,ne,ne
Ndudi Ebi,2004,2005,F,206,91,1984,ne,ne
Roy Ebron,1974,1974,C,206,100,1951,ne,ne
Jaime Echenique,2022,2022,C,211,117,1997,ne,da
Jarell Eddie,2016,2018,G-F,201,99,1991,ne,ne
Patrick Eddie,1992,1992,C,211,109,1967,ne,ne
Dike Eddleman,1950,1953,F-G,190,86,1922,ne,ne
Kenton Edelin,1985,1985,F,203,93,1962,ne,ne
Charles Edge,1974,1975,F,198,95,1950,ne,ne
Bobby Edmonds,1968,1970,F,198,100,1941,ne,ne
Keith Edmonson,1983,1984,G,196,89,1960,ne,ne
Tyus Edney,1996,2001,G,178,69,1973,ne,ne
Anthony Edwards,2021,2023,G,193,102,2001,ne,da
Bill Edwards,1994,1994,F,203,98,1971,ne,ne
Blue Edwards,1990,1999,G-F,193,91,1965,ne,ne
Carsen Edwards,2020,2022,G,180,91,1998,ne,da
Corsley Edwards,2005,2005,F,206,125,1979,ne,ne
Doug Edwards,1994,1996,F,201,100,1971,ne,ne
Franklin Edwards,1982,1988,G,185,77,1959,ne,ne
James Edwards,1978,1996,C-F,213,102,1955,ne,ne
Jay Edwards,1990,1990,G,193,84,1969,ne,ne
John Edwards,2005,2006,C,213,125,1981,ne,ne
Kessler Edwards,2022,2023,F,203,98,2000,ne,da
Kevin Edwards,1989,2001,G,190,86,1965,ne,ne
Rob Edwards,2022,2022,G,196,93,1997,ne,da
Shane Edwards,2014,2014,F,201,100,1987,ne,ne
Vince Edwards,2019,2019,F,203,102,1996,ne,da
Johnny Egan,1962,1972,G,180,82,1939,ne,ne
Lonnie Eggleston,1949,1949,G,183,77,1918,ne,ne
Bulbs Ehlers,1948,1949,F-G,190,90,1923,ne,ne
Craig Ehlo,1984,1997,G-F,198,82,1961,ne,ne
Rich Eichhorst,1962,1962,G,190,91,1933,ne,ne
Howard Eisley,1995,2006,G,188,80,1972,ne,ne
Obinna Ekezie,2000,2005,F-C,206,123,1975,ne,ne
Khalid El-Amin,2001,2001,G,178,91,1979,ne,ne
Don Eliason,1947,1947,F,188,95,1918,ne,ne
Mario Elie,1991,2001,G-F,196,95,1963,ne,ne
CJ Elleby,2021,2022,F,198,91,2000,ne,da
Ray Ellefson,1949,1951,C,203,104,1922,ne,ne
Henry Ellenson,2017,2021,F,208,109,1997,ne,ne
Wayne Ellington,2010,2022,G,193,94,1987,ne,ne
Bob Elliott,1979,1981,C-F,206,102,1955,ne,ne
Sean Elliott,1990,2001,F,203,93,1968,ne,ne
Bo Ellis,1978,1980,F,206,89,1954,ne,ne
Boo Ellis,1959,1960,F,196,84,1936,ne,ne
Dale Ellis,1984,2000,G-F,201,93,1960,ne,ne
Harold Ellis,1994,1998,G,196,91,1970,ne,ne
Joe Ellis,1967,1974,F-G,198,79,1944,ne,ne
Keon Ellis,2023,2023,G,198,79,2000,ne,da
LaPhonso Ellis,1993,2003,F,203,109,1970,ne,ne
LeRon Ellis,1992,1996,F-C,206,102,1969,ne,ne
Leroy Ellis,1963,1976,C-F,208,95,1940,ne,ne
Monta Ellis,2006,2017,G,190,84,1985,ne,ne
Pervis Ellison,1990,2001,F-C,206,95,1967,ne,ne
Len Elmore,1975,1984,C-F,206,100,1952,ne,ne
Francisco Elson,2004,2012,C,213,107,1976,ne,ne
Darrell Elston,1975,1977,G,193,86,1952,ne,ne
Melvin Ely,2003,2014,C,208,118,1978,ne,ne
Joel Embiid,2017,2023,C,213,127,1994,ne,da
Wayne Embry,1959,1969,C-F,203,109,1937,da,ne
Andre Emmett,2005,2012,F,196,104,1982,ne,ne
Ned Endress,1947,1947,F-G,188,91,1918,ne,ne
Wayne Engelstad,1989,1989,F,203,111,1965,ne,ne
Chris Engler,1983,1988,C,211,111,1959,ne,ne
A.J. English,1991,1992,G,190,79,1967,ne,ne
Alex English,1977,1991,F,203,86,1954,da,ne
Claude English,1971,1971,F,193,84,1946,ne,ne
Jo Jo English,1993,1995,G,193,89,1970,ne,ne
Kim English,2013,2013,G,198,91,1988,ne,ne
Scott English,1973,1975,F,198,93,1950,ne,ne
Gene Englund,1950,1950,F-C,196,93,1917,ne,ne
James Ennis III,2015,2022,F,198,98,1990,ne,ne
Tyler Ennis,2015,2018,G,190,88,1994,ne,ne
Ray Epps,1979,1979,F,198,89,1956,ne,ne
Semih Erden,2011,2012,C,213,109,1986,ne,ne
Bo Erias,1958,1958,F,190,100,1932,ne,ne
Keith Erickson,1966,1977,F-G,196,89,1944,ne,ne
Julius Erving,1972,1987,F-G,201,95,1950,da,ne
Evan Eschmeyer,2000,2003,C,211,116,1975,ne,ne
Jack Eskridge,1949,1949,C-F,196,91,1924,ne,ne
Vincenzo Esposito,1996,1996,G,190,90,1969,ne,ne
Drew Eubanks,2019,2023,F,206,111,1997,ne,da
Billy Evans,1970,1970,G,183,77,1947,ne,ne
Bob Evans,1950,1950,G,188,79,1925,ne,ne
Brian Evans,1997,1999,F,203,100,1973,ne,ne
Earl Evans,1980,1980,F,203,92,1955,ne,ne
Jacob Evans,2019,2020,G-F,193,95,1997,ne,da
Jawun Evans,2018,2019,G,183,84,1996,ne,ne
Jeremy Evans,2011,2018,F,206,91,1987,ne,ne
Maurice Evans,2002,2012,G,196,100,1978,ne,ne
Mike Evans,1980,1988,G,185,77,1955,ne,ne
Reggie Evans,2003,2015,F,203,111,1980,ne,ne
Tyreke Evans,2010,2019,G-F,198,100,1989,ne,ne
Daniel Ewing,2006,2007,G,190,84,1983,ne,ne
Patrick Ewing,1986,2002,C-F,213,109,1962,da,ne
Patrick Ewing,2011,2011,F,203,107,1984,ne,ne
Dante Exum,2015,2021,G,196,97,1995,ne,ne
Christian Eyenga,2011,2012,F,196,95,1989,ne,ne
Festus Ezeli,2013,2016,C,211,116,1989,ne,ne
Johnny Ezersky,1948,1950,F-G,190,79,1922,ne,ne
Joe Fabel,1947,1947,F-G,185,86,1917,ne,ne
John Fairchild,1966,1970,F,203,93,1943,ne,ne
Tacko Fall,2020,2022,C,229,141,1995,ne,ne
Phil Farbman,1949,1949,F,185,84,1924,ne,ne
Kenneth Faried,2012,2019,F-C,203,100,1989,ne,da
Dick Farley,1955,1959,G-F,193,86,1932,ne,ne
Jordan Farmar,2007,2017,G,188,82,1986,ne,ne
Desmon Farmer,2007,2009,G,196,100,1981,ne,ne
Jim Farmer,1988,1994,G,193,86,1964,ne,ne
Mike Farmer,1959,1966,F,201,95,1936,ne,ne
Tony Farmer,1998,2000,F,206,111,1970,ne,ne
Bob Faught,1947,1947,F,196,84,1921,ne,ne
Vítor Luiz Faverani,2014,2014,C,211,118,1988,ne,ne
Derrick Favors,2011,2022,F-C,206,120,1991,ne,da
Nick Fazekas,2008,2008,F,211,107,1985,ne,ne
Dave Fedor,1963,1963,F,198,86,1940,ne,ne
Bob Feerick,1947,1950,F-G,190,86,1920,ne,ne
Butch Feher,1977,1977,G,193,84,1954,ne,ne
Jamie Feick,1997,2001,C,206,116,1974,ne,ne
Ron Feiereisel,1956,1956,G,190,84,1931,ne,ne
George Feigenbaum,1950,1953,G,185,84,1928,ne,ne
Dave Feitl,1987,1992,C,211,107,1962,ne,ne
Kay Felder,2017,2018,G,175,80,1995,ne,ne
Cristiano Felício,2016,2021,F-C,211,123,1992,ne,ne
Carrick Felix,2014,2014,G,198,91,1990,ne,ne
Noel Felix,2006,2006,F,206,102,1981,ne,ne
Ray Felix,1954,1962,C,211,100,1930,ne,ne
Raymond Felton,2006,2019,G,185,93,1984,ne,ne
Jake Fendley,1952,1953,G,183,82,1929,ne,ne
Warren Fenley,1947,1947,F,190,86,1922,ne,ne
Desmond Ferguson,2004,2004,G-F,201,92,1977,ne,ne
Terrance Ferguson,2018,2021,G-F,198,86,1998,ne,ne
Rudy Fernández,2009,2012,G,198,84,1985,ne,ne
Bruno Fernando,2020,2023,F,206,109,1998,ne,da
Eric Fernsten,1976,1984,C-F,208,93,1953,ne,ne
Al Ferrari,1956,1963,G-F,193,86,1933,ne,ne
Rolando Ferreira,1989,1989,C,216,109,1964,ne,ne
Duane Ferrell,1989,1999,F-G,201,95,1965,ne,ne
Yogi Ferrell,2017,2021,G,183,81,1993,ne,ne
Arnie Ferrin,1949,1951,F-G,188,82,1925,ne,ne
Bob Ferry,1960,1969,C-F,203,104,1937,ne,ne
Danny Ferry,1991,2003,F,208,104,1966,ne,ne
Kyrylo Fesenko,2008,2012,C,216,131,1986,ne,ne
Bobby Fields,1972,1972,G,190,79,1949,ne,ne
Kenny Fields,1985,1988,F-G,196,100,1962,ne,ne
Landry Fields,2011,2015,F,201,95,1988,ne,ne
Ron Filipek,1968,1968,F,196,93,1944,ne,ne
Greg Fillmore,1971,1972,C,216,109,1947,ne,ne
Larry Finch,1974,1975,G,188,84,1951,ne,ne
Hank Finkel,1967,1975,C,213,109,1942,ne,ne
Michael Finley,1996,2010,G-F,201,98,1973,ne,ne
Danny Finn,1953,1955,G,185,84,1928,ne,ne
Dorian Finney-Smith,2017,2023,F,201,100,1993,ne,da
Matt Fish,1995,1997,C,211,107,1969,ne,ne
Derek Fisher,1997,2014,G,185,91,1974,ne,ne
Rick Fisher,1972,1972,F,196,98,1948,ne,ne
Gerald Fitch,2006,2006,G,190,85,1982,ne,ne
Malik Fitts,2021,2022,F,203,104,1997,ne,da
Bob Fitzgerald,1947,1949,F-C,196,86,1923,ne,ne
Dick Fitzgerald,1947,1948,F,188,79,1920,ne,ne
Marcus Fizer,2001,2006,F,206,119,1978,ne,ne
Jerry Fleishman,1947,1953,G-F,188,86,1922,ne,ne
Al Fleming,1978,1978,F,201,98,1954,ne,ne
Ed Fleming,1956,1960,G-F,190,86,1933,ne,ne
Vern Fleming,1985,1996,G,196,84,1962,ne,ne
Luis Flores,2005,2005,G,188,91,1981,ne,ne
Bruce Flowers,1983,1983,F,203,102,1957,ne,ne
Sleepy Floyd,1983,1995,G,190,77,1960,ne,ne
Jonny Flynn,2010,2012,G,183,84,1989,ne,ne
Malachi Flynn,2021,2023,G,185,79,1998,ne,da
Mike Flynn,1976,1978,G,188,82,1953,ne,ne
Larry Fogle,1976,1976,G,196,93,1953,ne,ne
Jack Foley,1963,1963,F,190,77,1939,ne,ne
Isaac Fontaine,2002,2002,G,193,95,1975,ne,ne
Levi Fontaine,1971,1971,G,193,86,1948,ne,ne
Simone Fontecchio,2023,2023,F,203,95,1995,ne,da
Jeff Foote,2012,2012,C,213,120,1987,ne,ne
Bryn Forbes,2017,2023,G,188,93,1993,ne,da
Gary Forbes,2011,2012,F,201,100,1985,ne,ne
Aleem Ford,2022,2022,F,203,100,1997,ne,da
Alphonso Ford,1994,1995,G,185,86,1971,ne,ne
Alton Ford,2002,2004,F,206,125,1981,ne,ne
Bob Ford,1973,1973,F,201,104,1950,ne,ne
Chris Ford,1973,1982,G-F,196,86,1949,ne,ne
Don Ford,1976,1982,F,206,98,1952,ne,ne
Jake Ford,1971,1972,G,190,82,1945,ne,ne
Phil Ford,1979,1985,G,188,79,1956,ne,ne
Sharrod Ford,2006,2006,F,206,102,1982,ne,ne
Sherell Ford,1996,1996,F,201,95,1972,ne,ne
T.J. Ford,2004,2012,G,183,75,1983,ne,ne
Donnie Forman,1949,1949,G,178,79,1926,ne,ne
Bayard Forrest,1978,1979,C,208,107,1954,ne,ne
Trent Forrest,2021,2023,G,193,95,1998,ne,da
Joseph Forte,2002,2003,G,193,88,1981,ne,ne
Courtney Fortson,2012,2012,G,180,84,1988,ne,ne
Danny Fortson,1998,2007,F,201,118,1976,ne,ne
Fred Foster,1969,1977,F,196,95,1946,ne,ne
Greg Foster,1991,2003,F-C,211,109,1968,ne,ne
Jeff Foster,2000,2012,F-C,211,107,1977,ne,ne
Jimmy Foster,1975,1976,G,185,79,1951,ne,ne
Michael Foster Jr.,2023,2023,F,203,114,2003,ne,da
Rod Foster,1984,1986,G,185,73,1960,ne,ne
Antonis Fotsis,2002,2002,F,208,99,1981,ne,ne
Evan Fournier,2013,2023,G-F,201,93,1992,ne,da
Larry Foust,1951,1962,C-F,206,98,1928,ne,ne
Calvin Fowler,1970,1970,G,183,79,1940,ne,ne
Jerry Fowler,1952,1952,C,203,104,1927,ne,ne
Tremaine Fowlkes,2002,2005,F,203,100,1976,ne,ne
De'Aaron Fox,2018,2023,G,190,84,1997,ne,da
Harold Fox,1973,1973,G,188,79,1949,ne,ne
Jim Fox,1968,1977,C-F,208,104,1943,ne,ne
Rick Fox,1992,2004,F-G,201,104,1969,ne,ne
Randy Foye,2007,2017,G,193,97,1983,ne,ne
Adonal Foyle,1998,2009,C,208,114,1975,ne,ne
Richie Frahm,2004,2008,G,196,95,1977,ne,ne
Steve Francis,2000,2008,G,190,89,1977,ne,ne
Tellis Frank,1988,1994,F-C,208,102,1965,ne,ne
Nat Frankel,1947,1947,F-G,183,89,1913,ne,ne
Bill Franklin,1973,1976,F,201,100,1949,ne,ne
Jamaal Franklin,2014,2015,G,196,87,1991,ne,ne
Robert Franks,2021,2021,F,201,102,1996,ne,ne
Ron Franz,1968,1973,F,201,93,1945,ne,ne
Melvin Frazier,2019,2022,G,196,98,1996,ne,da
Michael Frazier,2020,2020,G,190,91,1994,ne,ne
Tim Frazier,2015,2022,G,183,77,1990,ne,ne
Walt Frazier,1968,1980,G,193,91,1945,da,ne
Will Frazier,1966,1969,C-F,201,95,1942,ne,ne
Anthony Frederick,1989,1992,F,201,93,1964,ne,ne
Jimmer Fredette,2012,2019,G,188,89,1989,ne,ne
World B. Free,1976,1988,G,188,84,1953,ne,ne
Enes Freedom,2012,2022,C,208,114,1992,ne,ne
Joel Freeland,2013,2015,F-C,208,114,1987,ne,ne
Donnie Freeman,1968,1976,G,190,84,1944,ne,ne
Gary Freeman,1971,1971,F,206,95,1948,ne,ne
Rod Freeman,1974,1974,F,201,102,1950,ne,ne
Matt Freije,2005,2007,F,208,109,1981,ne,ne
Frido Frey,1947,1947,F,188,89,1921,ne,ne
Larry Friend,1958,1958,G-F,193,84,1935,ne,ne
Pat Frink,1969,1969,G,193,89,1945,ne,ne
Jim Fritsche,1954,1955,F-C,203,95,1931,ne,ne
Channing Frye,2006,2019,C-F,213,116,1983,ne,ne
Bernie Fryer,1974,1975,G,190,84,1949,ne,ne
Frank Fucarino,1947,1947,F,188,79,1920,ne,ne
Herm Fuetsch,1948,1948,G,183,77,1918,ne,ne
Joe Fulks,1947,1954,F-C,196,86,1921,da,ne
Carl Fuller,1971,1972,C,206,102,1946,ne,ne
Hiram Fuller,2004,2004,F,206,109,1981,ne,ne
Todd Fuller,1997,2001,C,211,116,1974,ne,ne
Tony Fuller,1981,1981,G,193,82,1958,ne,ne
Markelle Fultz,2018,2023,G,190,95,1998,ne,da
Lawrence Funderburke,1998,2005,F,206,104,1970,ne,ne
Terry Furlow,1977,1980,G-F,193,86,1954,ne,ne
Bill Gabor,1950,1955,G-F,180,77,1922,ne,ne
Wenyen Gabriel,2020,2023,F,206,93,1997,ne,da
Dan Gadzuric,2003,2012,C,211,109,1978,ne,ne
Daniel Gafford,2020,2023,F,208,106,1998,ne,da
Deng Gai,2006,2006,F,206,114,1982,ne,ne
Elmer Gainer,1948,1950,F-C,198,89,1918,ne,ne
Bill Gaines,1969,1969,G,193,84,1946,ne,ne
Corey Gaines,1989,1995,G,190,89,1965,ne,ne
Reece Gaines,2004,2006,G,198,93,1981,ne,ne
Smokey Gaines,1968,1968,G,185,77,1940,ne,ne
Sundiata Gaines,2010,2012,G,185,84,1986,ne,ne
Mike Gale,1972,1982,G,193,84,1950,ne,ne
Chad Gallagher,1994,1994,C,208,116,1969,ne,ne
Harry Gallatin,1949,1958,F-C,198,95,1927,da,ne
Gene Gallette,1947,1947,F,188,93,1919,ne,ne
Danilo Gallinari,2009,2022,F,208,106,1988,ne,da
Langston Galloway,2015,2022,G,185,91,1991,ne,da
Dave Gambee,1959,1970,F,198,98,1937,ne,ne
Kevin Gamble,1988,1997,F-G,196,95,1965,ne,ne
Bob Gantt,1947,1947,F-C,193,93,1922,ne,ne
Jorge Garbajosa,2007,2008,F,206,111,1977,ne,ne
Rubén Garcés,2001,2001,F,206,111,1973,ne,ne
Alex Garcia,2004,2005,G,190,100,1980,ne,ne
Francisco García,2006,2015,F-G,201,89,1981,ne,ne
Chuck Gardner,1968,1968,F,203,93,1944,ne,ne
Earl Gardner,1949,1949,F,190,89,1923,ne,ne
Ken Gardner,1976,1976,F,196,93,1949,ne,ne
Thomas Gardner,2008,2009,G,196,102,1985,ne,ne
Vern Gardner,1950,1952,F-C,196,91,1925,ne,ne
Jack Garfinkel,1947,1949,G,183,86,1918,ne,ne
Patricio Garino,2017,2017,G-F,198,95,1993,ne,ne
Darius Garland,2020,2023,G,185,87,2000,ne,da
Gary Garland,1980,1980,G,193,82,1957,ne,ne
Winston Garland,1988,1995,G,188,77,1964,ne,ne
Dick Garmaker,1956,1961,G-F,190,91,1932,ne,ne
Bill Garner,1968,1968,C,208,100,1940,ne,ne
Chris Garner,1998,2001,G,178,71,1975,ne,ne
Bill Garnett,1983,1986,F,206,102,1960,ne,ne
Kevin Garnett,1996,2016,F-C,211,109,1976,da,ne
Marlon Garnett,1999,1999,G,188,84,1975,ne,ne
Billy Garrett,2019,2019,G,198,97,1994,ne,ne
Calvin Garrett,1981,1984,F,201,86,1956,ne,ne
Dean Garrett,1997,2002,C,208,102,1966,ne,ne
Diante Garrett,2013,2014,G,193,86,1988,ne,ne
Dick Garrett,1970,1974,G,190,84,1947,ne,ne
Marcus Garrett,2022,2022,G,196,93,1998,ne,da
Rowland Garrett,1973,1977,F,198,95,1950,ne,ne
Tom Garrick,1989,1992,G,188,84,1966,ne,ne
John Garris,1984,1984,F,203,93,1959,ne,ne
Kiwane Lemorris Garris,1998,2000,G,188,83,1974,ne,ne
Pat Garrity,1999,2008,F,206,108,1976,ne,ne
Usman Garuba,2022,2023,F,203,100,2002,ne,da
Jim Garvin,1974,1974,F,201,91,1950,ne,ne
Luka Garza,2022,2023,F-C,211,107,1998,ne,da
Marc Gasol,2009,2021,C,211,116,1985,ne,ne
Pau Gasol,2002,2019,C-F,213,114,1980,ne,ne
Frank Gates,1950,1950,G,183,73,1920,ne,ne
Chris Gatling,1992,2002,F-C,208,100,1967,ne,ne
Kenny Gattison,1987,1996,F-C,203,102,1964,ne,ne
Rudy Gay,2007,2023,F,203,114,1986,ne,da
Ed Gayda,1951,1951,G-F,193,95,1927,ne,ne
Andrew Gaze,1994,1999,G,201,93,1965,ne,ne
Michael Gbinije,2017,2017,G,201,91,1992,ne,ne
Reggie Geary,1997,1998,G,188,85,1973,ne,ne
Alonzo Gee,2010,2017,G,198,102,1987,ne,ne
Matt Geiger,1993,2002,C,213,110,1969,ne,ne
Mickaël Gelabale,2007,2013,F,201,98,1983,ne,ne
Devean George,2000,2010,G-F,203,100,1977,ne,ne
Jack George,1954,1961,G,188,86,1928,ne,ne
Paul George,2011,2023,F,203,100,1990,ne,da
Tate George,1991,1995,G,196,86,1968,ne,ne
Marcus Georges-Hunt,2017,2018,G,196,98,1994,ne,ne
Gus Gerard,1975,1981,F-G,203,91,1953,ne,ne
Derrick Gervin,1990,1991,F,203,91,1963,ne,ne
George Gervin,1973,1986,G-F,201,82,1952,da,ne
Gorham Getchell,1947,1947,C,193,93,1920,ne,ne
John Gianelli,1973,1980,C-F,208,100,1950,ne,ne
Dick Gibbs,1972,1976,F-G,196,95,1948,ne,ne
Daniel Gibson,2007,2013,G,188,86,1986,ne,ne
Dee Gibson,1950,1950,F-G,180,79,1923,ne,ne
Hoot Gibson,1950,1950,F-C,196,90,1921,ne,ne
Jonathan Gibson,2017,2018,G,188,84,1987,ne,ne
Mel Gibson,1964,1964,G,190,82,1940,ne,ne
Mike Gibson,1984,1986,F,208,93,1960,ne,ne
Taj Gibson,2010,2023,F-C,206,105,1985,ne,da
J.R. Giddens,2009,2010,G,196,98,1985,ne,ne
Josh Giddey,2022,2023,G,203,95,2002,ne,da
Trey Gilder,2010,2010,F,206,84,1985,ne,ne
Harry Giles,2019,2021,F-C,211,109,1998,ne,ne
